email_id,subject,sender,message,label
28,URGENT: Account Suspended,alert184@secure-now33.com,You are eligible for a reward. Click the link.,spam
29,Congratulations! You Won $$$,alert882@secure-now11.com,Click here to verify your account immediately.,spam
30,URGENT: Account Suspended,alert566@secure-now23.com,You have won a prize. Claim it now before it expires.,spam
31,URGENT: Account Suspended,alert964@secure-now18.com,Confirm your details to avoid account suspension.,spam
32,Your Payment Failed,alert884@secure-now21.com,Click here to verify your account immediately.,spam
33,Verify Your Account Immediately,alert657@secure-now28.com,This is your final warning. Act immediately.,spam
34,URGENT: Account Suspended,alert512@secure-now46.com,We detected suspicious activity. Login now.,spam
35,Claim Your Reward Now,alert124@secure-now44.com,Urgent action required to secure your account.,spam
36,URGENT: Account Suspended,alert762@secure-now24.com,You are eligible for a reward. Click the link.,spam
37,Act Now to Avoid Suspension,alert649@secure-now46.com,Urgent action required to secure your account.,spam
38,Congratulations! You Won $$$,alert916@secure-now32.com,Click here to verify your account immediately.,spam
39,Team Sync Tomorrow,user173@company.com,Looking forward to your feedback.,not spam
40,URGENT: Account Suspended,alert415@secure-now1.com,Your account is at risk. Update your details now.,spam
41,You Have Been Selected!,alert690@secure-now30.com,This is your final warning. Act immediately.,spam
42,Project Update,user140@company.com,Reminder for tomorrow's meeting.,not spam
43,Verify Your Account Immediately,alert874@secure-now46.com,This is your final warning. Act immediately.,spam
44,Meeting Reminder,user86@company.com,Here is the update on the project.,not spam
45,Invoice Attached,user93@company.com,Here is the update on the project.,not spam
46,Meeting Reminder,user76@company.com,Kindly review the document.,not spam
47,Congratulations! You Won $$$,alert873@secure-now43.com,Click here to verify your account immediately.,spam
48,Verify Your Account Immediately,alert564@secure-now44.com,You have won a prize. Claim it now before it expires.,spam
49,Congratulations! You Won $$$,alert505@secure-now11.com,We detected suspicious activity. Login now.,spam
50,Verify Your Account Immediately,alert808@secure-now29.com,Urgent action required to secure your account.,spam
51,URGENT: Account Suspended,alert999@secure-now31.com,You are eligible for a reward. Click the link.,spam
52,URGENT: Account Suspended,alert718@secure-now7.com,Confirm your details to avoid account suspension.,spam
53,Schedule Confirmation,user186@company.com,Here is the update on the project.,not spam
54,Invoice Attached,user102@company.com,Let me know your availability.,not spam
55,You Have Been Selected!,alert682@secure-now36.com,You have won a prize. Claim it now before it expires.,spam
56,Your Payment Failed,alert949@secure-now49.com,You are eligible for a reward. Click the link.,spam
57,You Have Been Selected!,alert689@secure-now40.com,Confirm your details to avoid account suspension.,spam
58,URGENT: Account Suspended,alert661@secure-now9.com,You are eligible for a reward. Click the link.,spam
59,Verify Your Account Immediately,alert830@secure-now11.com,Your account is at risk. Update your details now.,spam
60,URGENT: Account Suspended,alert478@secure-now33.com,Confirm your details to avoid account suspension.,spam
61,Verify Your Account Immediately,alert500@secure-now5.com,Click here to verify your account immediately.,spam
62,Your Payment Failed,alert749@secure-now7.com,You have won a prize. Claim it now before it expires.,spam
63,URGENT: Account Suspended,alert477@secure-now13.com,Click here to verify your account immediately.,spam
64,You Have Been Selected!,alert585@secure-now1.com,Confirm your details to avoid account suspension.,spam
65,Congratulations! You Won $$$,alert223@secure-now43.com,Urgent action required to secure your account.,spam
66,Limited Time Offer!!!,alert876@secure-now38.com,Your account is at risk. Update your details now.,spam
67,Your Payment Failed,alert677@secure-now26.com,Your account is at risk. Update your details now.,spam
68,Team Sync Tomorrow,user118@company.com,Reminder for tomorrow's meeting.,not spam
69,Weekly Report,user181@company.com,Here is the update on the project.,not spam
70,Your Payment Failed,alert239@secure-now5.com,This is your final warning. Act immediately.,spam
71,You Have Been Selected!,alert464@secure-now45.com,Your account is at risk. Update your details now.,spam
72,URGENT: Account Suspended,alert288@secure-now37.com,Urgent action required to secure your account.,spam
73,Verify Your Account Immediately,alert965@secure-now42.com,Click here to verify your account immediately.,spam
74,You Have Been Selected!,alert587@secure-now41.com,You are eligible for a reward. Click the link.,spam
75,You Have Been Selected!,alert467@secure-now39.com,Confirm your details to avoid account suspension.,spam
76,Schedule Confirmation,user175@company.com,Please find the attached report.,not spam
77,Invoice Attached,user62@company.com,Kindly review the document.,not spam
78,Act Now to Avoid Suspension,alert641@secure-now16.com,Click here to verify your account immediately.,spam
79,Act Now to Avoid Suspension,alert212@secure-now25.com,Urgent action required to secure your account.,spam
80,Act Now to Avoid Suspension,alert670@secure-now44.com,Click here to verify your account immediately.,spam
81,Claim Your Reward Now,alert364@secure-now7.com,Confirm your details to avoid account suspension.,spam
82,URGENT: Account Suspended,alert948@secure-now13.com,This is your final warning. Act immediately.,spam
83,You Have Been Selected!,alert796@secure-now42.com,Your account is at risk. Update your details now.,spam
84,Verify Your Account Immediately,alert819@secure-now29.com,Your account is at risk. Update your details now.,spam
85,Weekly Report,user8@company.com,Sharing the weekly progress.,not spam
86,Schedule Confirmation,user192@company.com,Let me know your availability.,not spam
87,Verify Your Account Immediately,alert503@secure-now9.com,We detected suspicious activity. Login now.,spam
88,Meeting Reminder,user48@company.com,Looking forward to your feedback.,not spam
89,Invoice Attached,user109@company.com,Please find the attached report.,not spam
90,Claim Your Reward Now,alert278@secure-now39.com,Your account is at risk. Update your details now.,spam
91,Congratulations! You Won $$$,alert583@secure-now26.com,Urgent action required to secure your account.,spam
92,Schedule Confirmation,user83@company.com,Here is the update on the project.,not spam
93,Your Payment Failed,alert206@secure-now37.com,Click here to verify your account immediately.,spam
94,Client Feedback,user99@company.com,Reminder for tomorrow's meeting.,not spam
95,Schedule Confirmation,user20@company.com,Sharing the weekly progress.,not spam
96,You Have Been Selected!,alert794@secure-now44.com,Your account is at risk. Update your details now.,spam
97,URGENT: Account Suspended,alert844@secure-now32.com,Confirm your details to avoid account suspension.,spam
98,URGENT: Account Suspended,alert367@secure-now13.com,Confirm your details to avoid account suspension.,spam
99,Team Sync Tomorrow,user86@company.com,Looking forward to your feedback.,not spam
100,Claim Your Reward Now,alert841@secure-now15.com,This is your final warning. Act immediately.,spam
101,Claim Your Reward Now,alert252@secure-now38.com,Your account is at risk. Update your details now.,spam
102,Congratulations! You Won $$$,alert417@secure-now17.com,You are eligible for a reward. Click the link.,spam
103,Limited Time Offer!!!,alert904@secure-now42.com,We detected suspicious activity. Login now.,spam
104,Congratulations! You Won $$$,alert588@secure-now11.com,You have won a prize. Claim it now before it expires.,spam
105,You Have Been Selected!,alert236@secure-now42.com,Urgent action required to secure your account.,spam
106,You Have Been Selected!,alert365@secure-now30.com,We detected suspicious activity. Login now.,spam
107,Congratulations! You Won $$$,alert621@secure-now12.com,Your account is at risk. Update your details now.,spam
108,Invoice Attached,user23@company.com,Please find the attached report.,not spam
109,Act Now to Avoid Suspension,alert307@secure-now23.com,We detected suspicious activity. Login now.,spam
110,Verify Your Account Immediately,alert970@secure-now33.com,Your account is at risk. Update your details now.,spam
111,Act Now to Avoid Suspension,alert971@secure-now31.com,Urgent action required to secure your account.,spam
112,Claim Your Reward Now,alert753@secure-now24.com,This is your final warning. Act immediately.,spam
113,Team Sync Tomorrow,user61@company.com,Reminder for tomorrow's meeting.,not spam
114,Verify Your Account Immediately,alert223@secure-now50.com,Click here to verify your account immediately.,spam
115,Verify Your Account Immediately,alert343@secure-now36.com,Click here to verify your account immediately.,spam
116,Schedule Confirmation,user173@company.com,Please find the attached report.,not spam
117,Project Update,user113@company.com,Reminder for tomorrow's meeting.,not spam
118,URGENT: Account Suspended,alert600@secure-now13.com,Click here to verify your account immediately.,spam
119,You Have Been Selected!,alert248@secure-now21.com,Confirm your details to avoid account suspension.,spam
120,Your Payment Failed,alert104@secure-now37.com,This is your final warning. Act immediately.,spam
121,Project Update,user128@company.com,Reminder for tomorrow's meeting.,not spam
122,Schedule Confirmation,user189@company.com,Kindly review the document.,not spam
123,URGENT: Account Suspended,alert332@secure-now34.com,Confirm your details to avoid account suspension.,spam
124,Act Now to Avoid Suspension,alert241@secure-now32.com,Click here to verify your account immediately.,spam
125,Schedule Confirmation,user36@company.com,Here is the update on the project.,not spam
126,Verify Your Account Immediately,alert159@secure-now42.com,Click here to verify your account immediately.,spam
127,Claim Your Reward Now,alert902@secure-now1.com,You are eligible for a reward. Click the link.,spam
128,Verify Your Account Immediately,alert176@secure-now32.com,Urgent action required to secure your account.,spam
129,Act Now to Avoid Suspension,alert340@secure-now4.com,Confirm your details to avoid account suspension.,spam
130,Weekly Report,user26@company.com,Kindly review the document.,not spam
131,Meeting Reminder,user58@company.com,Here is the update on the project.,not spam
132,Meeting Reminder,user131@company.com,Please find the attached report.,not spam
133,Invoice Attached,user36@company.com,Sharing the weekly progress.,not spam
134,Your Payment Failed,alert699@secure-now8.com,This is your final warning. Act immediately.,spam
135,Your Payment Failed,alert600@secure-now7.com,Your account is at risk. Update your details now.,spam
136,Project Update,user92@company.com,Looking forward to your feedback.,not spam
137,URGENT: Account Suspended,alert766@secure-now45.com,Urgent action required to secure your account.,spam
138,Your Payment Failed,alert561@secure-now14.com,Click here to verify your account immediately.,spam
139,Your Payment Failed,alert638@secure-now40.com,Your account is at risk. Update your details now.,spam
140,Client Feedback,user122@company.com,Let me know your availability.,not spam
141,Limited Time Offer!!!,alert660@secure-now38.com,We detected suspicious activity. Login now.,spam
142,Claim Your Reward Now,alert510@secure-now42.com,Urgent action required to secure your account.,spam
143,Invoice Attached,user22@company.com,Kindly review the document.,not spam
144,Verify Your Account Immediately,alert522@secure-now48.com,Your account is at risk. Update your details now.,spam
145,Congratulations! You Won $$$,alert449@secure-now5.com,We detected suspicious activity. Login now.,spam
146,Client Feedback,user138@company.com,Let me know your availability.,not spam
147,Your Payment Failed,alert317@secure-now25.com,We detected suspicious activity. Login now.,spam
148,Weekly Report,user153@company.com,Here is the update on the project.,not spam
149,Your Payment Failed,alert500@secure-now49.com,You have won a prize. Claim it now before it expires.,spam
150,Verify Your Account Immediately,alert518@secure-now31.com,This is your final warning. Act immediately.,spam
151,Project Update,user97@company.com,Let me know your availability.,not spam
152,Congratulations! You Won $$$,alert156@secure-now29.com,Urgent action required to secure your account.,spam
153,Team Sync Tomorrow,user158@company.com,Looking forward to your feedback.,not spam
154,URGENT: Account Suspended,alert241@secure-now39.com,We detected suspicious activity. Login now.,spam
155,Congratulations! You Won $$$,alert717@secure-now30.com,Confirm your details to avoid account suspension.,spam
156,Limited Time Offer!!!,alert926@secure-now18.com,You are eligible for a reward. Click the link.,spam
157,Verify Your Account Immediately,alert228@secure-now36.com,Urgent action required to secure your account.,spam
158,You Have Been Selected!,alert481@secure-now34.com,Your account is at risk. Update your details now.,spam
159,Project Update,user104@company.com,Let me know your availability.,not spam
160,URGENT: Account Suspended,alert409@secure-now32.com,Click here to verify your account immediately.,spam
161,Act Now to Avoid Suspension,alert882@secure-now5.com,Click here to verify your account immediately.,spam
162,Team Sync Tomorrow,user131@company.com,Here is the update on the project.,not spam
163,You Have Been Selected!,alert274@secure-now23.com,Your account is at risk. Update your details now.,spam
164,Claim Your Reward Now,alert138@secure-now44.com,Click here to verify your account immediately.,spam
165,Verify Your Account Immediately,alert299@secure-now18.com,This is your final warning. Act immediately.,spam
166,You Have Been Selected!,alert658@secure-now21.com,We detected suspicious activity. Login now.,spam
167,Act Now to Avoid Suspension,alert670@secure-now31.com,This is your final warning. Act immediately.,spam
168,Verify Your Account Immediately,alert114@secure-now10.com,Urgent action required to secure your account.,spam
169,Limited Time Offer!!!,alert559@secure-now36.com,We detected suspicious activity. Login now.,spam
170,Weekly Report,user17@company.com,Reminder for tomorrow's meeting.,not spam
171,Limited Time Offer!!!,alert127@secure-now6.com,Click here to verify your account immediately.,spam
172,Claim Your Reward Now,alert811@secure-now42.com,This is your final warning. Act immediately.,spam
173,Verify Your Account Immediately,alert895@secure-now20.com,Urgent action required to secure your account.,spam
174,URGENT: Account Suspended,alert443@secure-now6.com,Your account is at risk. Update your details now.,spam
175,Meeting Reminder,user166@company.com,Please find the attached report.,not spam
176,Claim Your Reward Now,alert590@secure-now33.com,We detected suspicious activity. Login now.,spam
177,Project Update,user65@company.com,Let me know your availability.,not spam
178,Act Now to Avoid Suspension,alert879@secure-now36.com,Urgent action required to secure your account.,spam
179,Team Sync Tomorrow,user109@company.com,Sharing the weekly progress.,not spam
180,Your Payment Failed,alert258@secure-now27.com,Urgent action required to secure your account.,spam
181,Congratulations! You Won $$$,alert152@secure-now11.com,You have won a prize. Claim it now before it expires.,spam
182,Schedule Confirmation,user119@company.com,Please find the attached report.,not spam
183,Project Update,user190@company.com,Please find the attached report.,not spam
184,URGENT: Account Suspended,alert153@secure-now18.com,You have won a prize. Claim it now before it expires.,spam
185,Congratulations! You Won $$$,alert293@secure-now36.com,This is your final warning. Act immediately.,spam
186,Project Update,user198@company.com,Looking forward to your feedback.,not spam
187,Verify Your Account Immediately,alert581@secure-now6.com,Confirm your details to avoid account suspension.,spam
188,Your Payment Failed,alert992@secure-now32.com,This is your final warning. Act immediately.,spam
189,Invoice Attached,user62@company.com,Let me know your availability.,not spam
190,Your Payment Failed,alert953@secure-now30.com,Confirm your details to avoid account suspension.,spam
191,Weekly Report,user6@company.com,Please find the attached report.,not spam
192,Team Sync Tomorrow,user110@company.com,Looking forward to your feedback.,not spam
193,Congratulations! You Won $$$,alert573@secure-now49.com,Confirm your details to avoid account suspension.,spam
194,You Have Been Selected!,alert796@secure-now43.com,Confirm your details to avoid account suspension.,spam
195,Limited Time Offer!!!,alert199@secure-now49.com,This is your final warning. Act immediately.,spam
196,You Have Been Selected!,alert388@secure-now20.com,This is your final warning. Act immediately.,spam
197,Act Now to Avoid Suspension,alert699@secure-now9.com,This is your final warning. Act immediately.,spam
198,URGENT: Account Suspended,alert413@secure-now18.com,Urgent action required to secure your account.,spam
199,URGENT: Account Suspended,alert311@secure-now10.com,This is your final warning. Act immediately.,spam
200,Act Now to Avoid Suspension,alert848@secure-now42.com,You are eligible for a reward. Click the link.,spam
201,Weekly Report,user158@company.com,Kindly review the document.,not spam
202,Invoice Attached,user169@company.com,Please find the attached report.,not spam
203,Act Now to Avoid Suspension,alert324@secure-now43.com,Confirm your details to avoid account suspension.,spam
204,Congratulations! You Won $$$,alert477@secure-now26.com,Your account is at risk. Update your details now.,spam
205,Schedule Confirmation,user49@company.com,Sharing the weekly progress.,not spam
206,Schedule Confirmation,user67@company.com,Please find the attached report.,not spam
207,Schedule Confirmation,user161@company.com,Here is the update on the project.,not spam
208,Client Feedback,user134@company.com,Let me know your availability.,not spam
209,Team Sync Tomorrow,user180@company.com,Here is the update on the project.,not spam
210,Your Payment Failed,alert748@secure-now32.com,We detected suspicious activity. Login now.,spam
211,Client Feedback,user63@company.com,Reminder for tomorrow's meeting.,not spam
212,URGENT: Account Suspended,alert161@secure-now10.com,Click here to verify your account immediately.,spam
213,Act Now to Avoid Suspension,alert444@secure-now24.com,Confirm your details to avoid account suspension.,spam
214,Limited Time Offer!!!,alert806@secure-now21.com,Urgent action required to secure your account.,spam
215,Meeting Reminder,user178@company.com,Kindly review the document.,not spam
216,Your Payment Failed,alert998@secure-now5.com,Click here to verify your account immediately.,spam
217,Schedule Confirmation,user15@company.com,Let me know your availability.,not spam
218,Act Now to Avoid Suspension,alert547@secure-now21.com,Confirm your details to avoid account suspension.,spam
219,URGENT: Account Suspended,alert950@secure-now19.com,Urgent action required to secure your account.,spam
220,Project Update,user147@company.com,Sharing the weekly progress.,not spam
221,Verify Your Account Immediately,alert296@secure-now42.com,We detected suspicious activity. Login now.,spam
222,Act Now to Avoid Suspension,alert647@secure-now11.com,Your account is at risk. Update your details now.,spam
223,Team Sync Tomorrow,user136@company.com,Sharing the weekly progress.,not spam
224,You Have Been Selected!,alert422@secure-now1.com,Confirm your details to avoid account suspension.,spam
225,Verify Your Account Immediately,alert813@secure-now21.com,You have won a prize. Claim it now before it expires.,spam
226,URGENT: Account Suspended,alert129@secure-now49.com,Confirm your details to avoid account suspension.,spam
227,Weekly Report,user127@company.com,Here is the update on the project.,not spam
228,Schedule Confirmation,user83@company.com,Let me know your availability.,not spam
229,Congratulations! You Won $$$,alert110@secure-now31.com,Confirm your details to avoid account suspension.,spam
230,URGENT: Account Suspended,alert674@secure-now15.com,This is your final warning. Act immediately.,spam
231,URGENT: Account Suspended,alert168@secure-now2.com,You have won a prize. Claim it now before it expires.,spam
232,Verify Your Account Immediately,alert752@secure-now45.com,You have won a prize. Claim it now before it expires.,spam
233,Your Payment Failed,alert468@secure-now6.com,Your account is at risk. Update your details now.,spam
234,Act Now to Avoid Suspension,alert673@secure-now30.com,You are eligible for a reward. Click the link.,spam
235,Act Now to Avoid Suspension,alert296@secure-now17.com,You are eligible for a reward. Click the link.,spam
236,Limited Time Offer!!!,alert624@secure-now27.com,Confirm your details to avoid account suspension.,spam
237,Meeting Reminder,user55@company.com,Kindly review the document.,not spam
238,Team Sync Tomorrow,user134@company.com,Reminder for tomorrow's meeting.,not spam
239,Your Payment Failed,alert423@secure-now8.com,You are eligible for a reward. Click the link.,spam
240,Claim Your Reward Now,alert817@secure-now2.com,Urgent action required to secure your account.,spam
241,Verify Your Account Immediately,alert882@secure-now16.com,We detected suspicious activity. Login now.,spam
242,Client Feedback,user152@company.com,Please find the attached report.,not spam
243,You Have Been Selected!,alert866@secure-now33.com,Your account is at risk. Update your details now.,spam
244,Invoice Attached,user35@company.com,Please find the attached report.,not spam
245,Act Now to Avoid Suspension,alert906@secure-now36.com,We detected suspicious activity. Login now.,spam
246,You Have Been Selected!,alert907@secure-now16.com,Confirm your details to avoid account suspension.,spam
247,You Have Been Selected!,alert186@secure-now25.com,Urgent action required to secure your account.,spam
248,Verify Your Account Immediately,alert447@secure-now43.com,We detected suspicious activity. Login now.,spam
249,Weekly Report,user134@company.com,Kindly review the document.,not spam
250,URGENT: Account Suspended,alert975@secure-now27.com,This is your final warning. Act immediately.,spam
251,Verify Your Account Immediately,alert730@secure-now33.com,Urgent action required to secure your account.,spam
252,Limited Time Offer!!!,alert257@secure-now35.com,Click here to verify your account immediately.,spam
253,Verify Your Account Immediately,alert573@secure-now26.com,This is your final warning. Act immediately.,spam
254,Verify Your Account Immediately,alert302@secure-now18.com,You have won a prize. Claim it now before it expires.,spam
255,Schedule Confirmation,user13@company.com,Let me know your availability.,not spam
256,Congratulations! You Won $$$,alert532@secure-now48.com,This is your final warning. Act immediately.,spam
257,Act Now to Avoid Suspension,alert882@secure-now18.com,We detected suspicious activity. Login now.,spam
258,Verify Your Account Immediately,alert767@secure-now20.com,You are eligible for a reward. Click the link.,spam
259,Claim Your Reward Now,alert110@secure-now32.com,Click here to verify your account immediately.,spam
260,Your Payment Failed,alert584@secure-now49.com,Your account is at risk. Update your details now.,spam
261,Invoice Attached,user115@company.com,Sharing the weekly progress.,not spam
262,Schedule Confirmation,user43@company.com,Please find the attached report.,not spam
263,Claim Your Reward Now,alert257@secure-now4.com,You are eligible for a reward. Click the link.,spam
264,Weekly Report,user37@company.com,Here is the update on the project.,not spam
265,Verify Your Account Immediately,alert106@secure-now11.com,You are eligible for a reward. Click the link.,spam
266,Claim Your Reward Now,alert427@secure-now29.com,Urgent action required to secure your account.,spam
267,Verify Your Account Immediately,alert523@secure-now10.com,You have won a prize. Claim it now before it expires.,spam
268,Client Feedback,user192@company.com,Sharing the weekly progress.,not spam
269,URGENT: Account Suspended,alert432@secure-now12.com,Urgent action required to secure your account.,spam
270,Act Now to Avoid Suspension,alert782@secure-now48.com,Confirm your details to avoid account suspension.,spam
271,URGENT: Account Suspended,alert380@secure-now27.com,This is your final warning. Act immediately.,spam
272,Weekly Report,user83@company.com,Reminder for tomorrow's meeting.,not spam
273,Project Update,user35@company.com,Here is the update on the project.,not spam
274,Act Now to Avoid Suspension,alert437@secure-now1.com,Confirm your details to avoid account suspension.,spam
275,You Have Been Selected!,alert266@secure-now38.com,This is your final warning. Act immediately.,spam
276,Verify Your Account Immediately,alert808@secure-now44.com,Urgent action required to secure your account.,spam
277,Congratulations! You Won $$$,alert368@secure-now24.com,You have won a prize. Claim it now before it expires.,spam
278,Your Payment Failed,alert111@secure-now16.com,Confirm your details to avoid account suspension.,spam
279,Verify Your Account Immediately,alert105@secure-now30.com,Your account is at risk. Update your details now.,spam
280,Congratulations! You Won $$$,alert673@secure-now36.com,Your account is at risk. Update your details now.,spam
281,Act Now to Avoid Suspension,alert909@secure-now6.com,Urgent action required to secure your account.,spam
282,Client Feedback,user158@company.com,Kindly review the document.,not spam
283,Claim Your Reward Now,alert356@secure-now36.com,Your account is at risk. Update your details now.,spam
284,Limited Time Offer!!!,alert779@secure-now19.com,Click here to verify your account immediately.,spam
285,URGENT: Account Suspended,alert781@secure-now13.com,Urgent action required to secure your account.,spam
286,Meeting Reminder,user115@company.com,Looking forward to your feedback.,not spam
287,Weekly Report,user166@company.com,Looking forward to your feedback.,not spam
288,Act Now to Avoid Suspension,alert647@secure-now27.com,Confirm your details to avoid account suspension.,spam
289,Your Payment Failed,alert486@secure-now42.com,You have won a prize. Claim it now before it expires.,spam
290,You Have Been Selected!,alert828@secure-now34.com,This is your final warning. Act immediately.,spam
291,Project Update,user79@company.com,Here is the update on the project.,not spam
292,Schedule Confirmation,user18@company.com,Kindly review the document.,not spam
293,Invoice Attached,user81@company.com,Please find the attached report.,not spam
294,Weekly Report,user194@company.com,Please find the attached report.,not spam
295,Project Update,user73@company.com,Looking forward to your feedback.,not spam
296,Limited Time Offer!!!,alert714@secure-now30.com,Click here to verify your account immediately.,spam
297,Verify Your Account Immediately,alert665@secure-now21.com,Confirm your details to avoid account suspension.,spam
298,Act Now to Avoid Suspension,alert262@secure-now25.com,Your account is at risk. Update your details now.,spam
299,Verify Your Account Immediately,alert812@secure-now16.com,This is your final warning. Act immediately.,spam
300,Claim Your Reward Now,alert744@secure-now50.com,Confirm your details to avoid account suspension.,spam
